"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 22 15:21:25 CST 2024","Sat Jun 22 15:21:25 CST 2024","3","","edu.tongji.backend.service.impl.AccountServiceImplTest","","edu.tongji.backend.service.impl.AccountServiceImplTest","testGetAccountList","对GetAccountList方法进行简单的测试",""
"failed","Sat Jun 22 15:53:21 CST 2024","Sat Jun 22 15:53:21 CST 2024","6","","edu.tongji.backend.service.impl.HospitalServiceImplTest","","edu.tongji.backend.service.impl.HospitalServiceImplTest","addHospital_IdMinMinus","addHospital_IdMinMinus()",""
"broken","Sat Jun 22 17:48:17 CST 2024","Sat Jun 22 17:48:17 CST 2024","506","","edu.tongji.backend.controller.AdminControllerTest","","edu.tongji.backend.controller.AdminControllerTest","updateAdminInfo","更新管理员信息 - 不同输入",""
"passed","Sat Jun 22 15:21:25 CST 2024","Sat Jun 22 15:21:25 CST 2024","7","","edu.tongji.backend.service.impl.AccountServiceImplTest","","edu.tongji.backend.service.impl.AccountServiceImplTest","testAddAccountSuccess","测试addAccount方法的正常情况",""
"passed","Sat Jun 22 15:21:25 CST 2024","Sat Jun 22 15:21:25 CST 2024","19","","edu.tongji.backend.service.impl.AccountServiceImplTest","","edu.tongji.backend.service.impl.AccountServiceImplTest","testAddAccountWithInvalidInputs","[1] null, 18139000985, Test Address, false",""
"passed","Sat Jun 22 15:53:21 CST 2024","Sat Jun 22 15:53:21 CST 2024","4","","edu.tongji.backend.service.impl.HospitalServiceImplTest","","edu.tongji.backend.service.impl.HospitalServiceImplTest","testDeleteHospitalNotFound","testDeleteHospitalNotFound()",""
"passed","Sat Jun 22 15:53:21 CST 2024","Sat Jun 22 15:53:21 CST 2024","5","","edu.tongji.backend.service.impl.HospitalServiceImplTest","","edu.tongji.backend.service.impl.HospitalServiceImplTest","addHospital_IdMin","addHospital_IdMin()",""
"passed","Sat Jun 22 15:27:02 CST 2024","Sat Jun 22 15:27:02 CST 2024","5","","edu.tongji.backend.service.impl.HospitalServiceImplTest","","edu.tongji.backend.service.impl.HospitalServiceImplTest","deleteHospital","deleteHospital()",""
"passed","Sat Jun 22 15:21:25 CST 2024","Sat Jun 22 15:21:25 CST 2024","2","","edu.tongji.backend.service.impl.AccountServiceImplTest","","edu.tongji.backend.service.impl.AccountServiceImplTest","testRepeatedIdCard","对RepeatedIdCard进行简单的测试",""
"passed","Sat Jun 22 15:53:21 CST 2024","Sat Jun 22 15:53:21 CST 2024","4","","edu.tongji.backend.service.impl.HospitalServiceImplTest","","edu.tongji.backend.service.impl.HospitalServiceImplTest","addHospital_IdMinPlus","addHospital_IdMinPlus()",""
"passed","Sat Jun 22 15:53:21 CST 2024","Sat Jun 22 15:53:21 CST 2024","3","","edu.tongji.backend.service.impl.HospitalServiceImplTest","","edu.tongji.backend.service.impl.HospitalServiceImplTest","addHospital_IdMaxMinus","addHospital_IdMaxMinus()",""
"passed","Sat Jun 22 15:21:25 CST 2024","Sat Jun 22 15:21:25 CST 2024","3","","edu.tongji.backend.service.impl.AccountServiceImplTest","","edu.tongji.backend.service.impl.AccountServiceImplTest","testDeleteAccountWithIllegalId","测试deleteAccount方法的异常情况：非法ID",""
"passed","Sat Jun 22 15:21:24 CST 2024","Sat Jun 22 15:21:25 CST 2024","487","","edu.tongji.backend.service.impl.AccountServiceImplTest","","edu.tongji.backend.service.impl.AccountServiceImplTest","deleteAccountSuccess","测试deleteAccount方法的正常情况",""
"passed","Sat Jun 22 15:21:25 CST 2024","Sat Jun 22 15:21:25 CST 2024","3","","edu.tongji.backend.service.impl.AccountServiceImplTest","","edu.tongji.backend.service.impl.AccountServiceImplTest","testAddAccountWithInvalidInputs","[2] null, 123, Test Address, true",""
"passed","Sat Jun 22 15:53:21 CST 2024","Sat Jun 22 15:53:21 CST 2024","5","","edu.tongji.backend.service.impl.HospitalServiceImplTest","","edu.tongji.backend.service.impl.HospitalServiceImplTest","addHospital_IdMax","addHospital_IdMax()",""
"passed","Sat Jun 22 15:53:21 CST 2024","Sat Jun 22 15:53:21 CST 2024","5","","edu.tongji.backend.service.impl.HospitalServiceImplTest","","edu.tongji.backend.service.impl.HospitalServiceImplTest","addHospital_DatabaseConnectionFailure","addHospital_DatabaseConnectionFailure()",""
"failed","Sat Jun 22 20:26:11 CST 2024","Sat Jun 22 20:26:11 CST 2024","327","","edu.tongji.backend.controller.AdminControllerTest","","edu.tongji.backend.controller.AdminControllerTest","updateAdminInfoTestSuits","测试更新管理员信息",""
"broken","Sat Jun 22 16:38:29 CST 2024","Sat Jun 22 16:38:29 CST 2024","373","","edu.tongji.backend.controller.AdminControllerTest","","edu.tongji.backend.controller.AdminControllerTest","updateAdminInfo_validNameAndContact_success","updateAdminInfo_validNameAndContact_success()",""
"failed","Sat Jun 22 15:53:21 CST 2024","Sat Jun 22 15:53:21 CST 2024","5","","edu.tongji.backend.service.impl.HospitalServiceImplTest","","edu.tongji.backend.service.impl.HospitalServiceImplTest","addHospital_IdMaxPlus","addHospital_IdMaxPlus()",""
"passed","Sat Jun 22 15:53:21 CST 2024","Sat Jun 22 15:53:21 CST 2024","5","","edu.tongji.backend.service.impl.HospitalServiceImplTest","","edu.tongji.backend.service.impl.HospitalServiceImplTest","deleteHospitalSuccess","deleteHospitalSuccess()",""
